time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
5.178653,1.797665,-1.633808,-1.382285
5.218615,2.321138,-3.462525,-2.310178
5.248614,5.338118,-4.930259,-3.509529
5.278582,5.294854,-6.297628,-2.103846
5.31856,0.41992,-5.035503,1.11056
5.348559,3.227156,-0.682287,1.226695
5.378527,3.144258,-1.071531,1.273801
5.418505,1.464087,-2.551678,0.938986
5.448504,0.729747,-1.237772,0.642022
5.478472,-0.721923,-0.083883,0.322499
5.51845,-3.132931,0.401348,0.560501
5.548449,-3.125192,1.563561,1.327235
5.578417,-3.600934,1.632178,-0.193855
5.618395,-5.449973,1.471565,0.005331
5.648394,-5.058309,6.244794,0.064512
5.678362,-3.005733,7.211512,0.966443
5.71834,-3.753777,1.714637,0.939185
5.758318,-1.085127,1.375562,-0.886419
5.778307,0.943372,2.500913,-1.431955
5.818285,1.825398,0.498051,-1.673593
5.848284,1.332027,-2.332422,-2.040083
5.878252,2.256439,-3.685138,-2.610023
5.918261,5.651902,-1.985033,-2.900767
5.948229,3.511576,-5.258757,-2.496405
5.978228,0.880248,-6.719669,0.058201
6.018206,3.363874,-1.78034,1.122152
6.058184,2.836432,-1.671673,1.341865
6.078173,2.071524,-2.132091,1.497818
6.118151,0.683998,-0.930016,1.060244
6.148119,-1.051439,0.387913,-0.461079
6.178118,-2.606907,0.509229,-1.232038
6.218045,-3.838977,0.923795,1.438379
6.248013,-3.012182,2.628555,0.008762
6.278012,-5.234393,1.217346,-0.191297
6.31799,-4.786463,4.872706,0.957546
6.347958,-2.386409,8.18254,1.715218
6.377957,-2.642473,3.849513,2.092528
6.417935,-2.977428,0.599175,0.645626
6.457913,0.499824,2.558131,-1.912062
6.477902,1.146024,2.486386,-2.33431
6.51788,1.643176,-1.290327,-2.585076
6.547849,1.706945,-3.650431,-3.456311
6.577847,3.07696,-2.267235,-3.889192
6.617825,2.039129,-5.448038,-2.396159
6.647794,0.034671,-6.265246,0.365624
6.677792,2.105277,-2.967131,0.579071
6.71777,1.814886,-1.871543,0.465815
6.747769,0.986394,-2.242072,0.891317
6.777737,0.284417,-1.616048,1.126259
6.817715,-0.376684,0.501344,0.288473
6.847714,-1.541836,0.340097,-0.1892
6.877683,-3.113356,-0.331132,1.109878
6.917661,-2.569525,1.001922,0.12088
6.947659,-3.84558,1.348547,0.210694
6.977628,-5.348852,3.842721,0.884103
7.017606,-3.456126,6.954145,1.56927
7.047604,-2.572604,5.010411,1.21518
7.077573,-2.486857,2.600276,0.605533
7.117551,-0.875373,1.606542,-0.955444
7.147549,0.563019,1.595903,-1.960679
7.177518,0.985724,0.180351,-2.058032
7.217466,1.454569,-3.19173,-2.59007
7.247465,2.157659,-3.955072,-3.7488
7.277433,3.56098,-4.419551,-4.109372
7.317411,0.693806,-5.968138,0.502682
7.34741,1.755243,-2.579771,1.357853
7.377378,3.140584,-0.669442,1.159878
7.417356,2.291385,-2.165678,1.342182
7.447355,1.130782,-2.22175,1.280768
7.477323,0.251754,-0.213726,0.783144
7.517331,-1.517089,-0.288787,-0.277433
7.5473,-3.955028,-1.105758,0.248865
7.577298,-3.213879,1.054384,1.225936
7.617277,-3.95587,0.639655,-0.267662
7.647245,-5.883732,0.82945,2.447761
7.677244,-4.137362,7.093442,1.82374
7.717222,-2.895645,5.336266,2.078541
7.74719,-2.52858,3.31175,1.512449
7.777189,-1.503827,2.50316,-0.400798
7.817167,-0.420127,1.258208,-2.896712
7.847135,0.784118,-0.785715,-2.967027
7.877134,1.838952,-2.927565,-3.635254
7.917112,3.221634,-3.541897,-5.121001
7.94708,3.492909,-4.190342,-3.653106
7.977079,0.25855,-6.545378,-0.842065
8.017057,2.212146,-2.69175,1.517226
8.047025,3.407958,-1.196971,1.337278
8.077024,2.57003,-2.196559,1.368602
8.117002,1.121043,-2.288766,1.289857
8.14697,0.587845,-0.530515,0.523383
8.176969,-0.23776,-0.096555,-0.612365
8.216908,-3.46711,-1.6416,0.207503
8.246876,-3.092402,-0.03999,1.214251
8.276875,-2.644026,1.590515,-0.738585
8.316853,-5.668992,2.783612,2.367949
8.356831,-3.672535,7.97392,1.717507
8.37682,-2.710099,6.158392,1.760958
8.416798,-2.717559,2.194441,1.08452
8.446797,-1.341488,2.264637,-0.473514
8.476765,0.272808,2.698594,-2.622261
8.516743,0.74457,-0.269395,-3.525343
8.546742,0.895932,-3.226028,-3.630993
8.57671,1.868645,-4.416713,-4.359215
8.616688,3.916517,-2.043175,-4.898198
8.646687,1.260322,-5.571326,-2.126384
8.676655,-0.109102,-6.324498,0.788201
8.716633,2.721024,-2.328546,1.291952
8.746632,2.581182,-1.753342,0.942821
8.7766,0.987388,-2.428101,0.97057
8.816578,-0.517492,-1.048491,0.821388
8.846577,-1.378557,0.416937,-0.001879
8.876545,-2.585067,0.521001,-0.022637
8.916523,-2.847208,0.262283,1.869836
8.946522,-2.80478,0.337849,-0.455252
8.97649,-4.667221,1.354935,1.088808
9.016499,-4.52724,6.862337,2.402568
9.046467,-2.377368,6.997427,2.493109
9.076466,-2.06531,3.096452,2.146165
9.116444,-2.205276,0.695954,-0.075118
9.146412,-0.548871,1.208545,-2.459356
9.176411,0.850442,0.493196,-2.95243
9.216365,1.206903,-2.822093,-3.042667
9.246333,1.517173,-4.044674,-3.90778
9.276332,3.534731,-2.958365,-4.618298
9.31631,1.042541,-5.891057,-2.377721
9.346278,-0.496888,-5.41549,1.246486
9.376277,1.450867,-1.931003,1.577621
9.416255,1.511987,-0.618637,1.449061
9.446224,0.686037,-1.067792,1.683135
9.476222,0.430963,-0.838585,1.728701
9.5162,-0.568607,-0.005336,0.171726
9.546169,-2.1394,-0.49511,-0.794044
9.576167,-3.511667,-0.712032,1.058402
9.616145,-2.159334,1.496995,-0.710705
9.646114,-3.55036,2.992711,0.661826
