time_tick,acc_X_value,acc_Y_value,acc_Z_value
5.09773,11.619775,-15.905998,-6.059941
5.131431,6.170677,-20.803961,-10.011113
5.164209,1.070097,-16.464765,-11.579072
5.197591,-16.068809,-15.656842,-12.688824
5.230781,-52.584382,-27.516794,-24.082638
5.263904,-66.971055,-13.797379,-21.645852
5.297602,-27.553307,12.848643,-5.416326
5.3309,-5.464811,20.333035,1.152849
5.364192,2.929261,29.096724,3.797489
5.443948,-4.751313,28.377839,1.784342
5.469807,-17.393449,22.250859,2.319166
5.505058,-19.774118,14.45491,3.236777
5.536942,-30.484363,2.299563,1.467099
5.569676,-67.40876,-16.818371,-11.972633
5.597556,-58.196142,-29.066197,-17.595916
5.630806,-13.762811,-18.108143,-7.593781
5.664172,2.582239,-11.828078,-2.421373
5.697408,10.40228,-5.379215,0.604558
5.73065,13.270337,-4.53912,-0.668754
5.764176,8.497624,-10.341225,-2.456239
5.797571,8.109151,-14.943794,-5.261147
5.830924,8.177837,-12.780854,-7.652142
5.864452,-6.420131,-18.863242,-12.310527
5.897547,-46.589985,-43.924395,-27.526371
5.931029,-65.608556,-24.826962,-23.663787
5.964191,-17.210884,8.809929,-4.191948
5.997761,-6.555708,22.725077,1.45857
6.030617,0.364081,30.821958,5.109558
6.065234,2.398028,31.567928,7.217429
6.097512,-8.158533,26.13948,2.961584
6.131057,-13.887913,21.766764,2.238509
6.164263,-14.557266,17.073961,1.813224
6.197041,-26.384895,7.389069,-1.118132
6.230841,-52.449254,-6.459487,-8.971095
6.264165,-61.110738,-26.259644,-20.773883
6.297626,-23.889599,-20.019832,-11.207957
6.330952,-4.658684,-13.488366,-4.40893
6.364206,3.990828,-7.665759,-0.575676
6.397594,10.124094,-6.80621,-1.327183
6.431006,9.694319,-9.559191,-6.601199
6.464278,5.755268,-14.632387,-7.593931
6.497585,4.442151,-13.372393,-5.447153
6.530229,-2.919235,-13.221403,-9.096346
6.564993,-31.312936,-30.899772,-22.883399
6.59757,-76.540123,-28.450716,-33.678043
6.630984,-30.600636,3.418443,-10.743166
6.664174,-8.793917,20.264648,0.572085
6.697761,1.503163,29.784034,6.326006
6.730513,4.98296,34.375828,7.127494
6.764383,-4.407583,28.122399,3.460792
6.797849,-13.361319,22.377307,3.648594
6.830854,-13.824464,15.161674,3.798985
6.864167,-20.189377,5.982426,1.843451
6.897642,-43.904492,-6.706847,-5.254413
6.930559,-64.972573,-33.629409,-23.089009
6.963864,-37.50576,-27.251627,-19.799408
6.997531,-3.547286,-12.886353,-5.441915
7.030933,5.802854,-4.604214,-0.645111
7.064234,11.403092,-1.133545,0.643914
7.097545,11.86908,-4.593889,0.05447
7.130801,8.345288,-9.883917,-2.931056
7.164136,5.782652,-13.46158,-6.222453
7.197017,0.719184,-15.076976,-11.069987
7.230843,-25.623362,-30.496784,-20.775679
7.26414,-65.839604,-34.895837,-29.307122
7.297551,-44.64298,-10.69992,-14.990632
7.330693,-11.9026,12.331776,-1.420261
7.364428,-1.021762,26.311121,2.366603
7.397487,5.028153,37.833179,6.54628
7.430551,-0.762281,35.514461,4.587005
7.464254,-13.472055,28.277728,1.719248
7.498411,-18.999566,18.642369,1.75187
7.530629,-29.009782,7.031423,-0.897858
7.565137,-56.653323,-8.951791,-9.650324
7.596633,-62.219592,-25.397251,-19.504761
7.630834,-30.542425,-20.596556,-13.781517
7.664266,-5.037281,-14.486335,-5.554896
7.697526,4.308819,-8.918121,-1.837316
7.730614,13.84287,-9.000574,0.298089
7.764274,17.928572,-13.092112,-3.789408
7.797581,8.267174,-16.439624,-8.186217
7.831301,-1.35771,-17.310098,-12.538583
7.863562,-19.820059,-20.522333,-17.316083
7.897502,-64.24486,-31.438487,-28.545739
7.930953,-57.106292,-10.034906,-21.915658
7.964176,-32.661219,10.366216,-10.143996
7.997626,-2.002821,28.294488,2.118495
8.030602,2.713924,38.665942,7.101007
8.064313,1.583222,38.864368,9.986422
8.097513,-9.723948,26.825593,3.899695
8.130532,-18.359693,19.468847,1.159882
8.164191,-22.306526,11.891526,0.165804
8.197659,-42.33803,-4.68981,-4.565756
8.230608,-56.929265,-18.814907,-14.058057
8.264331,-41.688729,-23.213212,-17.233929
8.297519,-18.619623,-14.222814,-9.313627
8.330924,-4.400849,-10.195922,-3.070673
8.364481,0.839497,-5.575397,-0.719334
8.396968,6.231581,-5.243638,0.317692
8.430839,9.936292,-8.416817,-0.19259
8.464333,8.604619,-15.421304,-2.345952
8.49757,4.160523,-20.616608,-6.160052
8.531485,-5.864657,-19.723539,-12.006751
8.564249,-41.756817,-30.674111,-23.669025
8.597821,-64.137715,-17.135315,-22.060064
8.630642,-34.634112,2.465667,-11.406534
8.663949,-10.663407,19.160732,-0.412865
8.697617,0.507888,26.562072,5.617746
8.73127,3.558809,30.768685,10.112122
8.764171,-0.66217,26.678195,9.087816
8.797591,-11.272005,21.279975,4.481357
8.830897,-16.800713,15.010085,2.542883
8.864469,-19.97449,8.63769,0.001646
8.897803,-33.845344,-0.848476,-5.158941
8.930832,-48.875182,-9.269483,-15.205669
8.964269,-43.076518,-19.505808,-17.392401
8.997508,-12.729228,-13.929065,-6.801272
9.030668,-3.269848,-11.914422,-2.448308
9.064141,3.473362,-9.20783,1.200436
9.097504,8.419511,-8.730319,1.528902
9.130858,8.102118,-11.602267,-1.154944
9.164209,3.042241,-15.171251,-5.824552
9.197626,-3.581854,-12.418868,-7.818844
9.230677,-21.162057,-16.251673,-15.017418
9.264472,-52.550712,-23.471197,-27.437034
9.297475,-57.064841,-5.864208,-21.709899
9.330615,-22.387333,14.395801,-5.667128
9.363974,-1.9277,24.652478,3.473063
9.397498,6.540893,34.593409,9.309288
9.430927,6.339324,37.321101,10.606542
9.463627,-8.545211,31.42038,6.161548
9.496595,-16.708832,25.589991,2.565928
9.530905,-20.791391,19.728776,0.221023
9.564245,-43.216883,14.85745,-6.222752
9.597524,-62.429541,-4.727071,-18.703423
9.630998,-51.660636,-17.06169,-20.000528
9.664278,-13.464573,-15.176638,-7.077812
9.697521,-2.612018,-13.460533,-2.306297
9.730643,6.595812,-11.420001,-0.629997
9.76428,12.241691,-17.228991,-4.122813
9.797742,5.559385,-25.255839,-14.35016
9.830904,-11.381394,-28.532421,-20.12129
9.86419,-21.144698,-26.552644,-21.062394
9.897708,-49.971915,-26.679093,-26.819607
9.930356,-61.630597,-16.781858,-23.74669
9.964497,-46.786765,3.569732,-11.651649
9.997513,-19.408391,23.778414,0.127047
10.030917,-8.595491,35.917599,4.049039
10.063935,-3.322073,39.891218,6.124587
10.097796,-7.858799,34.008904,4.813415
10.130643,-20.43554,21.123449,1.74364
10.164299,-24.640507,13.135209,3.423681
10.197525,-27.524276,5.769933,3.059151
10.230747,-52.194861,-4.092136,-5.820961
10.264176,-59.163284,-21.212486,-15.864996
10.297932,-37.581629,-15.988002,-17.812
10.330874,-9.632217,-13.19327,-6.932509
10.364201,1.954187,-12.083518,-3.767411
10.397592,10.504037,-15.563764,-4.968445
10.431213,7.780535,-20.952556,-11.963804
10.464177,-5.684636,-27.169173,-23.124773
10.497656,-15.663726,-20.158551,-23.730977
10.530337,-24.994861,-13.291137,-20.658807
10.56425,-59.225386,-16.400268,-21.989432
10.597473,-57.021445,-2.26739,-16.251374
10.630478,-37.697303,13.275574,-8.169158
10.664138,-12.551751,24.752141,0.09218
10.697681,-6.497646,34.121285,3.136815
10.730845,0.634336,40.378007,7.12061
10.764225,-1.308777,38.258614,5.183183
10.79758,-19.024108,27.286194,0.676536
10.83052,-24.368157,17.135015,1.524712
10.864171,-30.043515,8.817112,-0.45282
10.89752,-71.463785,-4.234147,-15.727025
10.930949,-63.609476,-23.984323,-28.128834
10.964251,-25.348168,-14.156223,-16.720055
10.997539,0.545449,-13.259113,-1.534888
11.03107,10.076357,-14.007328,2.005814
11.064208,11.548096,-14.394754,1.201932
11.097591,8.464104,-15.353965,-3.187844
11.131596,-2.9128,-24.901185,-12.162679
11.164181,-13.294728,-24.518398,-16.323801
11.197699,-17.781622,-19.950547,-17.384021
11.230645,-39.559011,-15.262383,-21.602157
11.264281,-55.570956,-7.118515,-24.370102
11.297523,-44.410286,6.314034,-16.745345
11.330848,-13.106328,20.611969,-2.745798
11.364193,0.44025,31.946674,4.309867
11.397523,2.947068,36.476366,9.917137
11.430557,-2.469558,34.622889,9.503674
11.464335,-15.068446,26.374719,2.41
11.497512,-20.114257,19.005402,0.887682
11.531315,-25.886434,11.069089,-2.285946
11.564178,-50.412464,6.003974,-13.394391
11.597767,-50.319087,-10.463633,-23.469102
11.630428,-28.416298,-6.3914,-19.163725
