time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
5.185668,1.599161,-1.285059,-1.933132
5.225646,3.365828,-3.275281,-3.025643
5.255645,3.737429,-2.994025,-2.65967
5.285613,4.721813,-2.545679,-1.0418
5.325622,3.633461,-2.878672,-2.684491
5.35559,2.118959,-3.127378,-0.928086
5.385589,2.172213,-2.447973,0.041477
5.425567,0.399076,-0.503501,0.432493
5.455565,0.880174,1.212679,0.96739
5.485534,-1.199922,0.555637,0.219029
5.525512,-3.803603,2.394729,2.199451
5.55551,-2.842765,3.963651,3.12106
5.595488,-5.587038,2.522839,5.775343
5.625487,-6.051391,1.94121,3.669183
5.655456,-4.834949,0.841866,1.936251
5.685454,-3.558378,0.001518,0.301315
5.725432,-1.378396,0.45124,-0.423473
5.755431,1.191735,0.251844,-1.129567
5.785399,2.377288,-0.615722,-2.98033
5.825351,4.104143,-3.394012,-4.330192
5.855319,3.39391,-2.565829,-2.735638
5.895297,5.072344,-3.268596,-2.305545
5.925296,2.809103,-3.93309,-2.518431
5.955295,2.876852,-3.113452,-0.672122
5.995273,2.805489,-1.023571,0.023042
6.025241,0.653472,0.015489,-0.20214
6.05524,1.189191,1.24281,0.618781
6.095218,-1.460059,0.749947,0.315018
6.125217,-2.958664,0.990212,1.405269
6.155185,-3.516013,2.00763,2.59649
6.195193,-4.135251,4.100808,6.801898
6.225162,-4.839472,2.951001,4.594652
6.25516,-3.722029,-0.135187,2.653132
6.295139,-4.313755,-2.032761,-0.647819
6.325137,-2.230293,0.617249,-1.250934
6.355106,0.791341,2.078802,-0.945816
6.395084,2.529239,-0.080958,-2.108366
6.425082,2.680187,-1.882444,-3.957073
6.455081,3.106338,-3.462805,-4.226012
6.495059,4.892745,-2.483249,-2.384027
6.525027,4.469538,-2.085926,-2.29612
6.555026,3.636971,-2.336659,-1.761624
6.595004,1.265821,-4.033551,-0.273371
6.625003,0.460155,-2.756571,0.146077
6.654971,0.973564,-0.196841,1.18862
6.69498,0.337372,0.282561,0.622155
6.724948,-2.505247,-0.749732,0.023763
6.754947,-3.948533,0.434717,1.522647
6.784915,-3.966428,2.841706,2.677013
6.824893,-6.545064,2.252791,4.042925
6.854861,-5.613941,1.934067,2.029464
6.894839,-4.948493,1.505395,0.654037
6.924838,-3.05092,1.996318,0.532112
6.954837,-0.536927,1.668915,0.199557
6.994815,1.121108,0.269046,-2.336781
7.024783,2.036251,-1.835711,-3.64665
7.054782,3.810563,-2.668029,-3.98306
7.09476,4.235505,-1.758304,-1.900471
7.124758,2.874668,-2.845733,-2.9408
7.154727,2.016884,-3.396718,-1.938848
7.194735,2.275588,-2.706537,-0.513966
7.224703,2.634142,-0.737291,-0.420821
7.254702,2.574904,0.535512,0.009454
7.29468,0.911932,-0.01678,-0.030529
7.324679,-1.425063,-0.098116,0.991042
7.354647,-2.460483,1.838309,2.647373
7.394625,-5.261403,1.949188,4.523419
7.424624,-5.86483,1.881877,4.617935
7.454623,-5.112765,1.685019,2.772023
7.494601,-3.444202,1.257937,1.039021
7.524569,-2.399681,1.379164,-0.378888
7.554568,-0.102674,1.124047,-0.473979
7.594546,0.880046,-0.462626,-1.381695
7.624545,2.140036,-2.540539,-2.085671
7.654544,2.789653,-3.454978,-3.498976
7.694522,3.833811,-2.988033,-1.716241
7.72449,3.35987,-3.52621,-1.996523
7.754489,2.431768,-3.698002,-1.052485
7.794467,2.069569,-2.869781,0.876143
7.824441,1.733128,-1.324405,1.50005
7.85441,0.570262,0.813876,1.513963
7.894388,0.796146,1.528034,1.381499
7.924386,-1.890578,-0.188336,-0.081979
7.954385,-3.939058,-0.182249,0.523469
7.994363,-3.073002,1.721795,2.686841
8.024332,-4.472938,1.310021,3.348354
8.05433,-4.832018,-0.128159,2.932301
8.094308,-4.41012,0.761378,2.199034
8.124307,-1.603926,2.824957,2.127505
8.154306,0.810677,2.33464,1.946055
8.194284,1.076923,0.373912,-1.328245
8.224252,2.170463,-0.773787,-3.976409
8.254251,3.115416,-1.811387,-4.793091
8.294229,5.287333,-1.498437,-4.68267
8.334207,3.543237,-1.630988,-4.538676
8.354196,2.722887,-2.404709,-2.120852
8.394174,2.479309,-3.338086,-0.553037
8.424173,2.279809,-2.296348,-0.713327
8.454172,1.440365,-0.700227,0.298058
8.49415,1.162524,0.227711,0.805726
8.524148,-0.088639,-0.167978,0.454019
8.554117,-2.034243,0.191,0.999722
8.594095,-1.090123,1.513412,2.504607
8.624094,-5.550221,1.080381,3.137375
8.654092,-6.28037,-0.47604,5.193619
8.69407,-4.804776,1.61085,3.615678
8.724039,-3.231098,1.676958,2.750986
8.754037,-1.920395,1.005313,1.477269
8.794015,-0.31357,0.173091,-0.641696
8.823982,1.251509,-0.583446,-2.549794
8.85395,2.126056,-0.871445,-4.181301
8.893959,3.751314,-2.2967,-4.120978
8.923927,4.625972,-1.389225,-5.879832
8.953926,2.661545,-2.565889,-4.84573
8.993904,2.0437,-2.638671,-0.561189
9.023903,2.073493,-1.859953,0.209359
9.053871,1.994116,-1.855147,0.25563
9.093849,0.692894,-1.448468,0.64807
9.123848,1.252806,-0.10134,0.66582
9.153847,-1.113966,-0.715292,-0.478078
9.193825,-3.499338,1.765642,1.386464
9.223793,-3.562292,3.218415,2.514086
9.253792,-5.815341,2.445925,4.569706
9.29377,-4.759383,1.953092,3.267262
9.323769,-3.943399,1.448928,2.295837
9.353737,-3.246156,1.922367,1.188686
9.393745,-0.619004,1.858948,0.223124
9.423714,0.942046,0.618388,-0.855723
9.453712,1.869188,-1.215874,-2.395951
9.49369,3.427387,-2.684092,-3.890149
9.523689,5.468611,-3.021816,-3.886136
9.553657,3.799619,-3.362376,-3.978871
9.593636,3.584354,-3.495605,-1.848662
9.623634,3.133126,-3.158502,-0.502538
9.653633,2.316154,-2.992912,-0.213379
9.693611,2.476858,-1.121082,0.05546
9.723579,1.153867,-0.355602,0.636271
9.753578,-0.344972,0.203327,0.832398
9.793556,-3.867168,0.365189,1.061912
9.823502,-4.697743,1.338914,1.991505
9.85347,-5.071103,3.971255,4.128564
9.893479,-4.656073,2.696745,4.359802
9.923447,-4.268057,1.237515,2.345085
9.953446,-2.87997,1.351427,0.809058
9.993424,-0.100077,1.507557,-0.451263
10.023423,0.857819,0.692749,-1.918222
10.053391,1.64,-0.541923,-3.366132
10.093369,2.727123,-2.441164,-4.523824
10.123368,4.665139,-2.767428,-3.966786
10.153366,3.914313,-2.435522,-2.872832
10.193344,2.904646,-3.496342,-2.176625
10.223313,1.602991,-4.726154,-1.205533
10.253312,1.324577,-3.702888,-0.108703
10.29329,1.61286,0.895515,0.995568
10.323288,0.996121,0.966727,1.092322
10.353257,-1.204624,0.19936,0.328388
10.393265,-2.680698,1.91291,2.451767
10.423233,-3.902149,1.924122,2.609922
10.453232,-6.456064,2.228031,5.009025
10.49321,-5.286358,3.028756,3.942674
10.523209,-3.913907,0.554655,3.110905
10.553177,-4.492231,-0.63091,1.121897
10.593155,-1.680298,1.129545,-0.029005
10.623154,1.045613,1.713303,-0.749289
10.653153,2.108121,0.260206,-2.425387
10.693131,2.602536,-2.354472,-5.017653
10.723099,4.428304,-3.377185,-4.780118
10.753098,4.671165,-2.408159,-1.766822
10.793076,4.630727,-2.446096,-2.891657
10.823067,2.876061,-3.734627,-1.904815
10.853035,2.292309,-3.954488,-0.670056
10.893043,1.698229,-1.084651,-0.153832
10.923012,1.929743,0.339002,0.69824
10.953011,-0.231431,-0.862838,0.45681
10.992989,-3.311965,0.344067,1.385396
11.022987,-4.290079,1.706295,3.300641
11.052956,-5.683862,2.594583,4.593465
11.092934,-4.900371,1.168559,3.696318
11.122932,-3.872513,0.405826,2.034446
11.152931,-2.585483,1.643494,0.66764
11.192909,-0.188937,1.727355,-0.211346
11.222877,0.564264,1.265932,-1.210477
11.252876,1.984953,-0.146657,-2.778996
11.292854,2.685004,-2.040078,-4.659926
11.322853,4.856097,-2.143138,-3.750647
11.352821,2.168166,-4.421989,-4.538971
11.39283,1.348666,-3.926438,-1.473576
11.422798,1.755269,-1.676631,0.647088
11.452797,2.396985,-0.48144,0.586588
11.492775,0.373945,-0.695101,0.432999
11.522774,0.709088,0.295428,0.989068
11.552742,-0.589942,-0.133661,0.507741
11.59272,-3.993912,1.641371,1.704805
11.622719,-5.069671,3.694091,4.309831
11.652718,-4.049817,4.919422,6.320628
11.692696,-3.422147,1.875881,3.695632
11.722664,-3.549075,-0.817825,1.651406
11.752663,-2.994854,-0.519495,-0.157648
11.792641,-0.531199,1.545193,-0.539822
11.822582,0.512219,1.258966,-0.915734
11.852551,1.570005,-0.524049,-2.070933
11.892559,2.258372,-3.518458,-4.137695
11.922528,3.79782,-3.497117,-3.159712
11.952526,5.044335,-2.767473,-1.739535
11.992504,4.074366,-3.394089,-3.904422
12.022503,2.716801,-3.622009,-1.644505
12.052471,2.81583,-2.406466,-0.069069
12.092449,1.011673,-0.774007,0.30312
12.122448,1.490535,0.548054,1.295382
12.152447,0.632782,0.045927,0.85589
12.192425,-3.424261,-0.38281,0.931719
12.222393,-4.283191,1.154533,2.351123
12.252392,-5.229467,2.353569,4.478616
12.29237,-5.220244,1.989809,3.183141
12.322369,-4.436884,0.349845,1.374521
12.352368,-3.886054,0.883184,0.422402
12.392346,-0.349612,2.957591,-0.103393
12.422314,1.459315,2.157789,-0.518105
12.452313,2.761335,0.322326,-1.972935
12.492291,3.308448,-2.204843,-4.241878
12.522289,4.219961,-3.287403,-3.963628
12.562268,3.555746,-3.704416,-3.30082
12.592236,3.092417,-3.91191,-3.456701
12.622235,1.910918,-4.303013,-1.31814
12.662213,1.982526,-2.854054,0.033833
12.692211,1.176999,-1.615695,-0.078702
12.72221,0.918693,-0.01465,0.446221
12.752178,-0.063272,-0.257028,0.33401
12.792156,-3.910651,0.437286,1.184281
12.822129,-4.458001,2.328734,2.301706
12.852128,-6.056673,3.05846,4.137657
12.892106,-5.901939,2.704625,2.817835
12.922074,-3.708175,1.065028,1.232862
12.962052,-3.591377,-0.001158,-0.55609
12.992051,-2.074715,2.229679,-1.117727
13.02205,0.42364,3.615549,-0.375005
13.052018,1.541139,2.368487,-0.481735
13.092027,2.743792,-1.541187,-2.153029
13.121995,3.827794,-2.677732,-3.522279
13.161973,2.799727,-4.085575,-3.273511
13.191972,2.929533,-4.840229,-3.754988
13.221971,3.048281,-3.63035,-1.530013
13.251939,3.565987,-2.124449,-0.122271
13.291917,2.20853,-0.822619,-0.140488
13.321916,1.831593,0.229971,0.989736
13.361894,0.535087,-0.472414,1.545116
