time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
5.135314,-1.710384,3.006681,3.587015
5.165283,-3.891846,-0.480038,5.132409
5.205261,-6.133479,-2.311818,3.529726
5.235259,-5.048944,0.232545,1.475859
5.265228,-3.410005,3.251615,-0.597434
5.305206,-0.768957,5.604083,-1.707018
5.335205,0.792062,2.164161,-3.73475
5.365173,-0.44326,-3.565752,-4.407169
5.395172,0.524823,-4.868632,-4.279051
5.43515,2.983768,-2.772246,-2.603819
5.465118,0.626648,-3.482734,1.287664
5.505096,0.467452,-3.269338,1.224016
5.535095,3.761269,-0.779536,1.182862
5.565008,4.167918,-0.873851,0.72691
5.604986,3.847857,-1.244759,-0.808821
5.634985,2.357699,-1.245661,-1.460827
5.664953,0.549427,-0.684587,-0.844864
5.704931,-0.712808,2.169127,0.896529
5.73493,-1.77034,3.229815,2.00273
5.764898,-2.045328,3.808658,0.213241
5.804876,-0.303035,4.928614,2.914161
5.834875,-3.105402,0.742873,4.507694
5.864843,-4.304098,-1.559875,3.832896
5.904821,-3.671946,0.086319,1.282652
5.93482,-2.237593,1.672069,-1.164919
5.964788,-0.955248,2.318181,-2.16567
6.004766,0.958189,-0.131768,-3.744092
6.034765,-0.092835,-3.976433,-3.984701
6.064733,0.871288,-5.199435,-4.566499
6.104711,2.531234,-4.85247,-1.419868
6.13471,-1.018587,-5.533155,2.057732
6.164678,-0.288567,-2.894849,1.603008
6.204656,2.098759,1.265488,2.244518
6.234655,2.64274,1.35157,1.30005
6.264623,2.888968,0.225153,-0.497702
6.304601,0.770105,-1.659313,-1.15453
6.3346,-0.426863,-1.800757,0.360377
6.364569,-0.285963,1.156102,1.73055
6.404547,-2.045379,3.309598,1.724189
6.434545,-1.252133,4.097027,2.074437
6.464514,-1.431154,2.890266,3.305803
6.504492,-4.647766,-2.211114,4.108476
6.53449,-5.580299,-2.542258,3.255315
6.564446,-4.382366,0.252416,0.606941
6.604424,-1.940076,3.937353,-2.550997
6.634422,-0.598034,3.513107,-3.021399
6.664391,-0.159445,0.114069,-3.890138
6.704369,-0.567038,-3.069365,-3.565389
6.734368,2.347187,-2.849322,-2.815182
6.764336,0.799793,-3.737805,0.392605
6.804314,-0.736313,-3.758131,1.994886
6.834313,2.054124,-0.805482,1.383454
6.864281,3.695124,0.586476,0.786871
6.904259,4.070622,-1.019835,-0.556804
6.934258,2.964282,-2.655201,-0.999239
6.964226,0.012847,-3.567341,-0.566451
7.004204,-0.241942,1.179731,0.63892
7.034203,-0.419322,4.001423,1.02626
7.064171,-2.268635,3.6015,0.591499
7.104149,-1.087783,3.592561,3.250644
7.134148,-2.834346,1.25928,4.965266
7.164116,-4.455959,-1.450702,4.515594
7.204094,-3.920332,0.333354,2.214455
7.234093,-2.407336,1.754,-0.870188
7.264061,-2.245865,1.997403,-2.710788
7.304039,0.467527,1.193788,-3.592356
7.334038,1.122245,-1.844421,-4.308191
7.364006,0.372997,-4.001713,-4.663367
7.403984,2.532748,-3.390931,-2.766291
7.433983,0.935106,-3.740526,0.859079
7.463951,0.590643,-3.812371,1.606066
7.503929,3.312529,-1.153901,1.351352
7.533928,3.481794,-0.956391,1.144134
7.563847,3.514131,-1.177364,-0.114136
7.603825,1.928518,-1.646645,-1.507715
7.633824,0.402,-2.229447,-0.630886
7.663792,-0.475131,-0.091422,0.770258
7.70377,-1.34829,2.995019,1.113607
7.733769,-1.410682,3.230134,0.762323
7.763737,-1.692483,1.199982,3.285765
7.803715,-4.59108,-2.24642,4.596964
7.833714,-4.971362,-1.344273,3.075508
7.863683,-4.290561,1.604774,1.577655
7.903661,-3.419614,3.595474,-2.75784
7.933659,-2.988879,4.231373,-3.752727
7.963628,-0.323039,3.299145,-3.680528
8.003606,-0.586667,-2.457651,-4.206663
8.033604,0.108276,-4.253523,-4.541614
8.063573,2.106669,-4.810749,-2.48237
8.103551,-0.823145,-5.745583,2.133972
8.133549,0.008523,-3.578763,1.847547
8.163518,2.867958,-0.390514,1.820642
8.203496,3.783884,-0.101194,1.182994
8.233495,3.547655,-0.986509,-0.271485
8.263463,2.205895,-1.586866,-0.982762
8.303441,0.094758,-2.175815,0.342158
8.33344,-1.674357,-0.813448,1.548181
8.363408,-2.577368,1.187522,1.116877
8.403386,-2.176269,1.736551,2.314823
8.433385,-4.826161,-0.749327,4.295862
8.463353,-7.734837,-1.937848,4.180077
8.503331,-6.403955,1.418518,1.982233
8.53333,-2.498033,3.969449,-0.687861
8.563263,-0.379954,4.248557,-2.927843
8.603241,0.256525,3.549288,-3.640812
